num	attraction	latitude	longitude
372	ZSL London Zoo	51.5268422	-0.160619
373	Baker Street	51.5194629	-0.1562782
374	Bishop's Park	51.4744751	-0.220554
375	Royal Festival Hall	51.5055617	-0.1157187
376	Waterloo mainline station	51.5031653	-0.1123051
377	London Bridge	51.5067214	-0.0885712
378	Bankside	51.5073509	-0.1277583
379	English National Ballet Nutcracker	51.50978199999999	-0.126804
380	Almeida Theatre	51.53959469999999	-0.1036236
381	London Stadium	51.5387095	-0.0166037
382	Cleopatra's Needle	51.5101078	-0.1174064
383	Tavistock Square	51.5073509	-0.1277583
384	BT Tower (The British Telecom Tower)	51.5214598	-0.1388964
385	The Arts Theatre	51.51200009999999	-0.1275659
386	Howling Hops	51.5426879	-0.0229083
387	Serpentine Boating Lake	51.5081448	-0.1654032
388	Soho Square	51.5159183	-0.1318131
389	Kings Place	51.534935	-0.121753
390	Battersea Park Children's Zoo	51.4814022	-0.1565651
391	Edward Smith Stanley Statue	51.5005396	-0.1275137
392	The Arch Climbing Wall	51.494296	-0.061414
393	Charing Cross Road	51.5081101	-0.1248116
394	Lloyds of London	51.51318759999999	-0.0823197
395	London Central Mosque	51.528938	-0.1650437
396	King's Head Theatre	51.5383131	-0.1025807
397	Parliament Hill Fields	51.5593994	-0.1519758
398	Fulham Palace	51.4701077	-0.2149375
399	Clissold Park	51.5606349	-0.0886368
400	ExCeL London	51.5083537	0.0198855
401	Methodist Central Hall Westminster	51.5001069	-0.1295168
402	Harvey Nichols	51.5017076	-0.1600921
403	Fleet Street	51.5156153	-0.1078931
404	Estorick Collection of Modern Italian Art	51.54449529999999	-0.0889351
405	Kempton Park Racecourse	51.4213884	-0.4136082
406	Photographers' Gallery	51.5149665	-0.1390826
407	Painted Hall	51.4832762	-0.0055729
408	Saint Margaret's Church on Parliament Square	51.4986769	-0.1289446
409	Camden Passage	51.53498219999999	-0.1039117
410	Chiswick House and Gardens	51.4838077	-0.258696
411	Fortune Theatre	51.5129619	-0.1207187
412	The Other Palace	51.4988073	-0.1422935
413	County Hall, London	51.503513	-0.1173553
414	Old St Pancras Church	51.5334636	-0.1286428
415	The O2	51.50155239999999	0.004765699999999999
416	Hayman's Distillery	51.4457363	-0.1429924
417	Burgh House	51.558136	-0.175072
418	Clapham Common	51.5073509	-0.1277583
419	Camden	51.5073509	-0.1277583
420	Deen City Farm	51.408638	-0.184504
421	Thames Barrier Park	51.5023124	0.0302653
422	Sutton House	51.5483714	-0.0503745
423	Sloane Square	51.5073509	-0.1277583
424	Ragged School Museum	51.5187791	-0.0357464
425	Lincoln's Inn	51.5164346	-0.1145461
426	Statue of Eros (Anteros)	51.5100913	-0.1345676
